session_export_path,short_xlim_1,short_xlim_2,long_xlim_1,long_xlim_2,pix2cm,x_midpoint,short_ylim_1,short_ylim_2,long_ylim_1,long_ylim_2,epoch_data_1,epoch_data_2,epoch_data_3,epoch_data_4,epoch_data_rel_1,epoch_data_rel_2,epoch_data_rel_3,epoch_data_rel_4,n_epochs,epoch_durations_1,epoch_durations_2,total_duration
W:\Data\KDIBA\gor01\one\2006-6-07_11-26-53,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,135.812632476571,144.628493859694,135.239243118319,144.198451841005,506917.636049,508656.789413119,508656.789413119,508850.056053812,0,1739.15336411854,1739.15336411854,1932.42000481166,2,1739.15336411854,193.266640693124,1932.42000481166
W:\Data\KDIBA\gor01\one\2006-6-08_14-26-15,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,137.997120787865,145.02114042645,137.925447118083,145.164487766013,603785.852737,604997.410817031,604997.410817031,605879.750593824,0,1211.55808003107,1211.55808003107,2093.89785682422,2,1211.55808003107,882.339776793146,2093.89785682422
W:\Data\KDIBA\gor01\one\2006-6-09_1-22-43,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,138.02062831034,146.26310033521,138.163975649903,146.119752995647,643040.533794,644069.850402762,644069.850402762,644777.730625,0,1029.3166087619,1029.3166087619,1737.19683100004,2,1029.3166087619,707.880222238135,1737.19683100004
W:\Data\KDIBA\gor01\one\2006-6-09_3-23-37,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,138.269973578269,145.867382575106,139.345078624991,147.587550649862,650194.201368,650722.266973533,650722.266973533,650724.44528,0,528.065605532844,528.065605532844,530.243911999976,2,528.065605532844,2.17830646713264,530.243911999976
W:\Data\KDIBA\gor01\one\2006-6-12_15-55-31,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,138.477979076405,145.788693394117,137.976263387935,146.003714403461,954487.433465,955143.498273878,955143.498273878,955609.619952494,0,656.064808878,656.064808878,1122.18648749392,2,656.064808878,466.12167861592,1122.18648749392
W:\Data\KDIBA\gor01\one\2006-6-13_14-42-6,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,138.494220085882,145.733260733812,138.279199076537,145.446566054686,1036494.067132,1037015.07479862,1037015.07479862,1037348.81538753,0,521.007666619145,521.007666619145,854.748255528975,2,521.007666619145,333.74058890983,854.748255528975
W:\Data\KDIBA\gor01\two\2006-6-07_16-40-19,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,139.556064701887,146.194273754146,138.39266723912,146.947060347701,525450.097391,526686.363636364,526686.363636364,528037.899073,0,1236.26624536363,1236.26624536363,2587.80168199993,2,1236.26624536363,1351.5354366363,2587.80168199993
W:\Data\KDIBA\gor01\two\2006-6-08_15-46-47,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,141.983365633636,151.495850770378,142.393976502848,151.153675046035,608482.124169,610900.803461063,610900.803461063,611124.787347,0,2418.679292063,2418.679292063,2642.66317800002,2,2418.679292063,223.983885937021,2642.66317800002
W:\Data\KDIBA\gor01\two\2006-6-08_21-16-25,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,140.374833241784,148.381745191416,139.895787227703,148.518615481153,628251.751643,628974.405594406,628974.405594406,629452.835579415,0,722.653951405664,722.653951405664,1201.08393641491,2,722.653951405664,478.42998500925,1201.08393641491
W:\Data\KDIBA\gor01\two\2006-6-09_22-24-40,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,140.12658616371,147.449146664655,139.305364425286,147.996627823604,718681.405833,719593.006993007,719593.006993007,721254.862995,0,911.601160006947,911.601160006947,2573.45716200001,2,911.601160006947,1661.85600199306,2573.45716200001
W:\Data\KDIBA\gor01\two\2006-6-12_16-53-46,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,140.053940152365,147.855546667391,139.917069862628,148.745203550684,957963.268264,958434.335664336,958434.335664336,958748.719590269,0,471.067400335683,471.067400335683,785.451326268958,2,471.067400335683,314.383925933274,785.451326268958
W:\Data\KDIBA\gor01\two\2006-6-13_15-22-3,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,141.140111837945,149.557634656789,141.071676693077,149.968245526001,1038871.598801,1039406.29370629,1039406.29370629,1039730.21766965,0,534.694905293756,534.694905293756,858.618868654361,2,534.694905293756,323.923963360605,858.618868654361
W:\Data\KDIBA\vvp01\one\2006-4-09_17-29-30,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,108.351446945306,114.219970799441,108.139331625277,115.139137186233,102178.274236,103051.898734177,103051.898734177,103569.929863853,0,873.624498177218,873.624498177218,1391.65562785334,2,873.624498177218,518.031129676121,1391.65562785334
W:\Data\KDIBA\vvp01\one\2006-4-10_12-25-50,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,107.888484065099,113.615597705882,107.817778958423,113.757007919234,170548.85317,171432.750301568,171432.750301568,171962.252342345,0,883.897131568141,883.897131568141,1413.39917234477,2,883.897131568141,529.502040776628,1413.39917234477
W:\Data\KDIBA\vvp01\one\2006-4-17_12-33-47,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,109.29322756066,114.949636094767,109.646753094042,115.020341201443,86875.332919,87320.8860759494,87320.8860759494,87732.2508398656,0,445.553156949376,445.553156949376,856.917920865613,2,445.553156949376,411.364763916237,856.917920865613
W:\Data\KDIBA\vvp01\one\2006-4-18_13-6-1,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,109.722315905684,114.530263159675,108.944559732244,114.671673373027,175242.756704,175742.848101266,175742.848101266,176034.994400896,0,500.091397265787,500.091397265787,792.237696895842,2,500.091397265787,292.146299630054,792.237696895842
W:\Data\KDIBA\vvp01\one\2006-4-18_15-23-32,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,109.81233332788,114.408165261841,109.670923114527,114.549575475194,183506.453508,183797.341772152,183797.341772152,184010.302351624,0,290.888264151872,290.888264151872,503.848843623739,2,290.888264151872,212.960579471866,503.848843623739
W:\Data\KDIBA\vvp01\one\2006-4-19_13-34-40,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,107.012846558419,112.315729559144,106.80073123839,112.739960199202,263329.291186,263729.873417722,263729.873417722,263987.569988802,0,400.58223172155,400.58223172155,658.278802801797,2,400.58223172155,257.696571080247,658.278802801797
W:\Data\KDIBA\vvp01\one\2006-4-27_14-43-12,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,108.001801965564,114.082441139729,107.224045792125,114.082441139729,958762.580392,959395.569620253,959395.569620253,959673.684210526,0,632.989228253253,632.989228253253,911.103818526375,2,632.989228253253,278.114590273122,911.103818526375
W:\Data\KDIBA\vvp01\two\2006-4-09_16-40-54,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,122.824932683891,130.036853564877,122.966342897244,130.461084204935,99397.458088,100553.164556962,100553.164556962,101121.49122807,0,1155.70646896202,1155.70646896202,1724.03314007017,2,1155.70646896202,568.326671108152,1724.03314007017
W:\Data\KDIBA\vvp01\two\2006-4-10_12-58-3,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,122.628058995609,129.132928809831,122.840174315638,129.698569663242,172258.566199,173191.392405063,173191.392405063,173717.105263158,0,932.826206063299,932.826206063299,1458.5390641579,2,932.826206063299,525.712858094601,1458.5390641579
W:\Data\KDIBA\vvp01\two\2006-4-11_12-48-38,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,125.460966257469,130.905259471546,125.036735617411,131.046669684899,6646.796691,7354.05063291139,7354.05063291139,7928.50877192982,0,707.253941911393,707.253941911393,1281.71208092982,2,707.253941911393,574.458139018432,1281.71208092982
W:\Data\KDIBA\vvp01\two\2006-4-11_16-2-46,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,124.194896581773,129.144254049116,124.053486368421,129.568484689174,18226.670831,18809.4936708861,18809.4936708861,19112.9385964912,0,582.822839886074,582.822839886074,886.267765491226,2,582.822839886074,303.444925605152,886.267765491226
W:\Data\KDIBA\vvp01\two\2006-4-12_15-25-59,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,126.247960680107,131.621548787508,126.177255573431,131.126613040774,102570.159415,103041.139240506,103041.139240506,103414.191729323,0,470.979825506322,470.979825506322,844.032314323296,2,470.979825506322,373.052488816975,844.032314323296
W:\Data\KDIBA\vvp01\two\2006-4-16_14-49-24,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,123.906367008935,129.350660223013,123.906367008935,129.562775543042,8584.926744,9331.26582278481,9331.26582278481,9616.44736842105,0,746.339078784811,746.339078784811,1031.52062442105,2,746.339078784811,285.181545636242,1031.52062442105
W:\Data\KDIBA\vvp01\two\2006-4-16_18-47-52,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,123.563784437325,129.220192971432,123.634489544001,128.795962331374,22904.744411,23335.9493670886,23335.9493670886,23655.1378446115,0,431.204956088608,431.204956088608,750.393433611531,2,431.204956088608,319.188477522923,750.393433611531
W:\Data\KDIBA\vvp01\two\2006-4-17_12-52-15,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,123.863419829827,129.095597723875,124.146240256532,129.449123257257,87986.550184,88455.3797468354,88455.3797468354,88794.5175438596,0,468.829562835454,468.829562835454,807.967359859656,2,468.829562835454,339.137797024203,807.967359859656
W:\Data\KDIBA\vvp01\two\2006-4-18_13-28-57,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,123.212726644206,128.303494324902,122.929906217501,128.798430071636,176600.746254,176999.17721519,176999.17721519,177215.977443609,0,398.430961189879,398.430961189879,615.23118960901,2,398.430961189879,216.800228419132,615.23118960901
W:\Data\KDIBA\vvp01\two\2006-4-19_13-50-7,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,124.642855714827,129.59221318217,124.501445501475,129.450802968818,264270.73821,264568.734177215,264568.734177215,264774.467418546,0,297.99596721516,297.99596721516,503.729208546341,2,297.99596721516,205.733241331181,503.729208546341
W:\Data\KDIBA\vvp01\two\2006-4-19_16-37-40,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,124.137306135901,129.652304456655,124.278716349254,129.581599349979,274297.255274,274581.64556962,274581.64556962,274775.093984962,0,284.390295620251,284.390295620251,477.838710962387,2,284.390295620251,193.448415342136,477.838710962387
W:\Data\KDIBA\vvp01\two\2006-4-21_11-19-2,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,124.229599899668,129.60318800707,124.017484579639,129.673893113746,428554.938679,428912.46835443,428912.46835443,429133.270676692,0,357.529675430385,357.529675430385,578.331997691712,2,357.529675430385,220.802322261326,578.331997691712
W:\Data\KDIBA\vvp01\two\2006-4-25_13-20-55,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,124.242731535007,130.959716669258,124.596257068388,130.181960495818,780992.392913,781331.075949367,781331.075949367,781562.969924812,0,338.68303636706,338.68303636706,570.577011812013,2,338.68303636706,231.893975444953,570.577011812013
W:\Data\KDIBA\vvp01\two\2006-4-26_13-51-50,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,124.437323758764,130.588668039605,123.376747158619,129.740206759489,869320.285126,869638.26739427,869638.26739427,869831.203007519,0,317.982268270105,317.982268270105,510.917881518835,2,317.982268270105,192.93561324873,510.917881518835
W:\Data\KDIBA\vvp01\two\2006-4-28_12-38-13,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,125.429626765433,130.661804659481,124.793280805346,130.591099552805,1037656.902813,1037939.87341772,1037939.87341772,1038195.30075188,0,282.970604721573,282.970604721573,538.397938879672,2,282.970604721573,255.427334158099,538.397938879672
W:\Data\KDIBA\pin01\one\11-02_17-46-44,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,137.201714038605,143.963517710422,136.100955301333,144.592522703149,3164.893218,4309.12162162162,4309.12162162162,5106.32644,0,1144.22840362162,1144.22840362162,1941.433222,2,1144.22840362162,797.204818378378,1941.433222
W:\Data\KDIBA\pin01\one\11-02_19-28-0,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,141.604748987695,147.580296418603,141.447497739513,147.737547666785,9105.257373,9892.76541515538,9892.76541515538,10283.017937,0,787.508042155376,787.508042155376,1177.760564,2,787.508042155376,390.252521844623,1177.760564
W:\Data\KDIBA\pin01\one\11-03_12-3-25,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,139.245980264968,146.322286433149,138.931477768605,146.636788929512,8950.848209,9619.90846681922,9619.90846681922,9956.29290617849,0,669.060257819221,669.060257819221,1005.44469717849,2,669.060257819221,336.384439359268,1005.44469717849
W:\Data\KDIBA\pin01\one\11-03_21-26-8,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,138.376660634682,144.308602197996,138.094187226906,144.732312309661,16481.594935,17067.5629290618,17067.5629290618,17328.2036613272,0,585.967994061783,585.967994061783,846.608726327231,2,585.967994061783,260.640732265449,846.608726327231
W:\Data\KDIBA\pin01\one\11-05_19-26-43,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,142.754998455224,148.828176722426,142.684380103279,149.181268482147,6034.825998,6695.59496567506,6695.59496567506,7276.507754,0,660.768967675058,660.768967675058,1241.681756,2,660.768967675058,580.912788324942,1241.681756
W:\Data\KDIBA\pin01\one\11-09_11-43-50,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,140.918921304674,147.910138147151,141.836959879949,148.192611554928,4083.369056,4547.4828375286,4547.4828375286,4794.93707093821,0,464.113781528604,464.113781528604,711.568014938215,2,464.113781528604,247.45423340961,711.568014938215
W:\Data\KDIBA\pin01\one\11-09_12-15-3,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,144.520457253829,150.805490576864,143.814273734387,151.017345632696,5938.282131,6411.09839816934,6411.09839816934,6706.091421,0,472.816267169336,472.816267169336,767.80929,2,472.816267169336,294.993022830664,767.80929
W:\Data\KDIBA\pin01\one\11-09_21-17-16,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,143.743655382443,149.463741889924,143.108090214945,149.675596945756,753.002244,1211.95652173913,1211.95652173913,1462.0709382151,0,458.95427773913,458.95427773913,709.068694215103,2,458.95427773913,250.114416475972,709.068694215103
W:\Data\KDIBA\pin01\one\11-09_22-4-5,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,141.907578231893,147.910138147151,141.625104824116,147.839519795207,3555.935748,3943.36384439359,3943.36384439359,4301.095796,0,387.428096393593,387.428096393593,745.160048,2,387.428096393593,357.731951606407,745.160048
W:\Data\KDIBA\pin01\one\fet11-01_12-58-54,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,140.283356137176,146.144679348546,140.142119433288,147.274572979653,9209.586917,11266.8128654971,11266.8128654971,12241.314164,0,2057.22594849708,2057.22594849708,3031.727247,2,2057.22594849708,974.501298502924,3031.727247
W:\Data\KDIBA\pin01\one\fet11-03_20-28-3,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,137.952950523017,144.096747142164,137.741095467185,144.661693957717,13003.779281,13709.8353503172,13709.8353503172,14084.6126165077,0,706.056069317214,706.056069317214,1080.83333550768,2,706.056069317214,374.777266190464,1080.83333550768
W:\Data\KDIBA\pin01\one\fet11-04_21-20-3,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,138.546656532268,143.496013999611,138.051720785534,143.70812931964,2212.694378,2921.05263157895,2921.05263157895,3355.726104,0,708.358253578947,708.358253578947,1143.031726,2,708.358253578947,434.673472421053,1143.031726
